Broke with http://bato.to/myfollows_rss?secret=0f77bfa04cf17abe53f82a9023763725&l=English : 
Broke with http://www.webtoons.com/en/fantasy/the-gamer/rss?title_no=88 : 
Broke with http://www.questionablecontent.net/QCRSS.xml : 
Broke with http://www.exocomics.com/feed : 
Broke with http://completelyseriouscomics.com/?feed=rss2 : 
Broke with http://www.odoripark.com/feed/ : 
Broke with http://www.kiwiblitz.com/rss.php : ./rssItems.pkl is locked, but not by me
Broke with http://www.pepsaga.com/?feed=rss2 : ./rssItems.pkl is locked, but not by me
Broke with http://bato.to/myfollows_rss?secret=0f77bfa04cf17abe53f82a9023763725&l=English : global name 'MyClass' is not defined
Broke with http://www.webtoons.com/en/fantasy/the-gamer/rss?title_no=88 : global name 'MyClass' is not defined
Broke with http://www.questionablecontent.net/QCRSS.xml : global name 'MyClass' is not defined
Broke with http://feeds.feedburner.com/InvisibleBread : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://www.menagea3.net/comic.rss : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://www.rsspect.com/rss/gunner.xml : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://feeds.feedburner.com/TheDreamlandChronicles : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://feeds.feedburner.com/rsspect/fJur : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://www.dumbingofage.com/feed/rss/ : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://www.monster-pulse.com/rss.php : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
Broke with http://occasionalcomics.com/feed/ : failed to create /media/joshua/YUKI_N/RSS/cgi-bin/joshua-pc-17864700.111253410249154752882668
